T2ID,T2create_at,text
1313322300582830000,06/10/20 03:36,"Allah ya karemu baki daya daga abin cutar wa, Amin"
1313321775237820000,06/10/20 03:34,Allah ya kawo musu mafita Ameen
1313317240532480000,06/10/20 03:16,"Uhmm dama kinyi shuru da bakinki, kije ki tuba wurin Allah, kuma ki daina faqat."
1313315440937130000,06/10/20 03:09,Bana wani bane
1313314265177220000,06/10/20 03:04,"Nanesa kesha, yana nufin nanesa ne suke morar mutum."
1313313557052880000,06/10/20 03:02,Haka yake
1313312774202810000,06/10/20 02:59,Balbela ke da farinta
1313312395616450000,06/10/20 02:57,: Dama reshin kunya ne kawai kizo kina bayyana siraicin ki a gaban uwar mijin ki da uban mijinki da ubanki da
1313312284182270000,06/10/20 02:57,Dama reshin kunya ne kawai kizo kina bayyana siraicin ki a gaban uwar mijin ki da uban mijinki da ubanki
1313293628320760000,06/10/20 01:42,Na Kenya ko Morocco??
1313288683609560000,06/10/20 01:23,: Ba cinyaba kafar baya.
1313286801247830000,06/10/20 01:15,Se Dai ta nemi yafiyar Allah tukunna day shi ne mafi aala
1313281955107160000,06/10/20 00:56,Ai dama an bar Allah ne shi yasa ake ta Shan wahala wlh
1313280480234690000,06/10/20 00:50,Kowa ya yi fada da damissa.....be nemi azamna lafiya ba
1313277850200480000,06/10/20 00:40,Allah kayafi mata sabo da annabi s a w ameee
1313276513593230000,06/10/20 00:34,Duk malamaina
1313272717534200000,06/10/20 00:19,Shikenan munafukai sai su rufe bakin su
1313271507133630000,06/10/20 00:15,Allah yakaramasu nasara
1313271240552000000,06/10/20 00:13,Taji mazaaaa
1313270793120480000,06/10/20 00:12,Mai kyauta a daji gakuma nagida suna bukata
1313270786111750000,06/10/20 00:12,Allah ya kyauta
1313270617379160000,06/10/20 00:11,Afuwar allah zata nema ba ta mutane bah
1313270513175850000,06/10/20 00:11,"Hakika Allah ubangiji yana Yafiya ga kowa. Allah ubangiji ya yafemiki kurakurenki, kuma inamiki fatan zaman lfy a aurenki"
1313268730797920000,06/10/20 00:03,Allahu yaalam
1313267268055450000,05/10/20 23:58,mal musbahu ashana g.s.s kwakwanchi kano
1313266973028110000,05/10/20 23:57,Balbela take haskenta
1313266940522180000,05/10/20 23:56,: Ba cinyaba kafar baya.
1313266634900100000,05/10/20 23:55,Allah yayimana ufuwa baki daya
1313265271881240000,05/10/20 23:50,"BBC Hausa basuda kirki, wato tsohon dan kwallo"
1313263646148050000,05/10/20 23:43,: Mungani Allah yafemata kuma yabasu zama lafiya
1313262352981250000,05/10/20 23:38,Mungani Allah yafemata kuma yabasu zama lafiya
1313262158696920000,05/10/20 23:37,Sheikh Abubakar Mahmud gumi
1313262053189180000,05/10/20 23:37,Meye dalilai malam
1313261986000570000,05/10/20 23:37,Ta fahimci bata kyautava Allah y kiyaye gava
1313261640608100000,05/10/20 23:35,Mohd Dodo
1313259262500630000,05/10/20 23:26,Ankasan balbela
1313258524282100000,05/10/20 23:23,: Allah zata roka afuwa ba jamaa ba ai
1313258470557310000,05/10/20 23:23,Allah ya kawo mana dauki
1313258240764010000,05/10/20 23:22,Ayya hakane daman rayuwa inka gane Kayi kuskure sai ka nemi tafiya gun allah.yafe Mana Baki daya
1313258190931460000,05/10/20 23:22,Mtswww!
1313257769768760000,05/10/20 23:20,"Allah ya karba tubanki da namu gaba daya, mafi alkhairin mutane sune wandanda sukayi kuskure su ka kuma n"
1313257552562600000,05/10/20 23:19,Malamin IRK mu Mal gambo nazangi ya Rasu Allah yajikan Shi yagafarta Masa
1313257380151530000,05/10/20 23:18,Gaskiya kayi hangen nesa
1313257197594350000,05/10/20 23:18,Malam musa mansur twd
1313257042132500000,05/10/20 23:17,Cece kuce kuma? Ba tuba tayiba kenan. Toh ai ba mutane tayiwa laifiba
1313256790088450000,05/10/20 23:16,: Ba cinyaba kafar baya.
1313256775630700000,05/10/20 23:16,Taroki Allah she ya fimata period
1313256023709440000,05/10/20 23:13,Allah y bd zaman lfy
